version,successful_runs,mean_duration_seconds,mean_jmh_score,score_unit,mean_average_power_w,stdev_average_power_w,mean_idle_average_power_w,stdev_idle_average_power_w,mean_energy_j,stdev_energy_j,mean_net_energy_j,stdev_net_energy_j
11.0.0,2,2065.660608,3.7876242259791297,ms/op,100.56398096712115,0.7860702135331172,72.33048204430986,0.8226796200782165,207863.75739326968,1624.7403674386044,58453.3777644402,3350.8648503479435
11.1.0,2,2063.9338239999997,3.769744707505465,ms/op,100.88836103169999,0.026780391050207138,72.37102534586725,1.2241720037917325,208330.46084502217,58.17255171828445,58961.65696742176,2560.7555248663793
